,playerID,nameFirst,nameLast,birthYear,birthCountry,G_c,G_all,AB,R,RBI,H,2B,3B,HR,AVG,PB,SB,inducted
66,munsoth01,Thurman,Munson,1947.0,USA,1277.0,1423.0,5344.0,696.0,701.0,1558.0,229.0,32.0,113.0,0.29154191616766467,93.0,533.0,False
67,nevinph01,Phil,Nevin,1971.0,USA,109.0,1217.0,4188.0,584.0,743.0,1131.0,209.0,6.0,208.0,0.2700573065902579,25.0,71.0,False
68,ofarrbo01,Bob,O'Farrell,1896.0,USA,1335.0,1493.0,4101.0,517.0,549.0,1120.0,201.0,58.0,51.0,0.2731041209461107,54.0,0.0,False
69,oneilst01,Steve,O'Neill,1891.0,USA,1533.0,1590.0,4795.0,448.0,537.0,1259.0,248.0,34.0,13.0,0.26256517205422314,145.0,0.0,False
70,parrila02,Lance,Parrish,1956.0,USA,1820.0,1988.0,7067.0,856.0,1070.0,1782.0,305.0,27.0,324.0,0.25215791707938306,192.0,1043.0,False
71,peitzhe01,Heinie,Peitz,1870.0,USA,961.0,1238.0,4124.0,532.0,560.0,1117.0,191.0,66.0,16.0,0.27085354025218233,163.0,1215.0,False
72,penato01,Tony,Pena,1957.0,D.R.,1950.0,1988.0,6489.0,667.0,708.0,1687.0,298.0,27.0,107.0,0.2599784250269687,105.0,1224.0,False
73,perkicy01,Cy,Perkins,1896.0,USA,1112.0,1171.0,3604.0,329.0,409.0,933.0,175.0,35.0,30.0,0.2588790233074362,79.0,0.0,False
74,piazzmi01,Mike,Piazza,1968.0,USA,1629.0,1912.0,6911.0,1048.0,1335.0,2127.0,344.0,8.0,427.0,0.3077702213861959,102.0,1400.0,True
75,porteda02,Darrell,Porter,1952.0,USA,1506.0,1782.0,5539.0,765.0,826.0,1369.0,237.0,48.0,188.0,0.24715652644881747,132.0,902.0,False
76,posadjo01,Jorge,Posada,1970.0,P.R.,1574.0,1829.0,6092.0,900.0,1065.0,1664.0,379.0,10.0,275.0,0.273145108338805,142.0,984.0,False
77,ricede01,Del,Rice,1922.0,USA,1249.0,1309.0,3826.0,342.0,441.0,908.0,177.0,20.0,79.0,0.23732357553580763,65.0,65.0,False
78,rickebr01,Branch,Rickey,1881.0,USA,67.0,120.0,343.0,38.0,39.0,82.0,8.0,6.0,3.0,0.239067055393586,6.0,110.0,True
79,robinwi01,Wilbert,Robinson,1864.0,USA,1316.0,1371.0,5075.0,637.0,722.0,1388.0,212.0,51.0,18.0,0.2734975369458128,491.0,1586.0,True
80,rodriiv01,Ivan,Rodriguez,1971.0,P.R.,2427.0,2543.0,9592.0,1354.0,1332.0,2844.0,572.0,51.0,311.0,0.2964970809007506,127.0,786.0,True
81,ruelmu01,Muddy,Ruel,1896.0,USA,1409.0,1467.0,4514.0,494.0,534.0,1242.0,187.0,29.0,4.0,0.2751439964554719,59.0,0.0,False
82,ryanmi02,Mike,Ryan,1941.0,USA,632.0,636.0,1920.0,146.0,161.0,370.0,60.0,12.0,28.0,0.19270833333333334,40.0,234.0,False
83,sanguma01,Manny,Sanguillen,1944.0,Panama,1114.0,1448.0,5062.0,566.0,585.0,1500.0,205.0,57.0,65.0,0.2963255630185697,89.0,504.0,False
84,santibe01,Benito,Santiago,1965.0,P.R.,1917.0,1978.0,6951.0,755.0,920.0,1830.0,323.0,41.0,217.0,0.2632714717306862,157.0,998.0,False
85,schalra01,Ray,Schalk,1892.0,USA,1727.0,1763.0,5306.0,579.0,594.0,1345.0,199.0,49.0,11.0,0.2534866189219751,98.0,0.0,True
86,schanwa01,Wally,Schang,1889.0,USA,1431.0,1841.0,5307.0,769.0,710.0,1506.0,264.0,90.0,59.0,0.283776144714528,131.0,0.0,False
87,schreos01,Ossee,Schrecongost,1875.0,USA,751.0,898.0,3057.0,304.0,338.0,829.0,136.0,31.0,9.0,0.27118089630356557,84.0,850.0,False
88,severha01,Hank,Severeid,1891.0,USA,1226.0,1392.0,4312.0,408.0,539.0,1245.0,204.0,42.0,17.0,0.2887291280148423,91.0,0.0,False
89,sewellu01,Luke,Sewell,1901.0,USA,1558.0,1631.0,5383.0,653.0,696.0,1393.0,272.0,56.0,20.0,0.258777633289987,91.0,0.0,False
90,simmote01,Ted,Simmons,1949.0,USA,1769.0,2456.0,8680.0,1074.0,1389.0,2472.0,483.0,47.0,248.0,0.2847926267281106,182.0,1188.0,False
91,simsdu01,Duke,Sims,1941.0,USA,646.0,843.0,2422.0,263.0,310.0,580.0,80.0,6.0,100.0,0.23947151114781173,59.0,297.0,False
92,smithea02,Earl,Smith,1897.0,USA,720.0,863.0,2264.0,225.0,355.0,686.0,115.0,19.0,46.0,0.3030035335689046,72.0,0.0,False
93,stearjo01,John,Stearns,1951.0,USA,699.0,810.0,2681.0,334.0,312.0,696.0,152.0,10.0,46.0,0.2596046251398732,31.0,500.0,False
94,steinte01,Terry,Steinbach,1962.0,USA,1379.0,1546.0,5369.0,638.0,745.0,1453.0,273.0,21.0,162.0,0.27062767740733845,83.0,765.0,False
95,streega01,Gabby,Street,1882.0,USA,495.0,505.0,1501.0,98.0,105.0,312.0,44.0,11.0,2.0,0.2078614257161892,65.0,424.0,False
96,sukefcl01,Clyde,Sukeforth,1901.0,USA,400.0,488.0,1237.0,122.0,96.0,326.0,50.0,14.0,2.0,0.2635408245755861,26.0,0.0,False
97,sullibi03,Billy,Sullivan,1875.0,USA,1119.0,1148.0,3647.0,363.0,378.0,777.0,119.0,33.0,21.0,0.21305182341650672,140.0,889.0,False
98,sundbji01,Jim,Sundberg,1951.0,USA,1927.0,1962.0,6021.0,621.0,624.0,1493.0,243.0,36.0,95.0,0.24796545424348115,130.0,1012.0,False
99,surhobj01,B. J.,Surhoff,1964.0,USA,704.0,2313.0,8258.0,1062.0,1153.0,2326.0,440.0,42.0,188.0,0.28166626301767983,56.0,458.0,False
100,sweenmi01,Mike,Sweeney,1973.0,USA,201.0,1454.0,5188.0,759.0,909.0,1540.0,325.0,5.0,215.0,0.29683885890516576,16.0,94.0,False
101,tebbebi01,Birdie,Tebbetts,1912.0,USA,1099.0,1162.0,3704.0,357.0,469.0,1000.0,169.0,22.0,38.0,0.26997840172786175,64.0,0.0,False
102,tenacge01,Gene,Tenace,1946.0,USA,893.0,1555.0,4390.0,653.0,674.0,1060.0,179.0,20.0,201.0,0.24145785876993167,73.0,515.0,False
103,tettlmi01,Mickey,Tettleton,1960.0,USA,872.0,1485.0,4698.0,711.0,732.0,1132.0,210.0,16.0,245.0,0.24095359727543636,64.0,581.0,False
104,thomair01,Ira,Thomas,1881.0,USA,449.0,487.0,1352.0,124.0,155.0,327.0,46.0,17.0,3.0,0.24186390532544377,36.0,262.0,False
105,torboje01,Jeff,Torborg,1941.0,USA,559.0,574.0,1391.0,78.0,101.0,297.0,42.0,3.0,8.0,0.2135154565061107,31.0,219.0,False
106,torrejo01,Joe,Torre,1940.0,USA,897.0,2209.0,7874.0,996.0,1185.0,2342.0,344.0,59.0,252.0,0.2974345948691897,87.0,322.0,True
107,varitja01,Jason,Varitek,1972.0,USA,1488.0,1546.0,5099.0,664.0,757.0,1307.0,306.0,14.0,193.0,0.25632476956265937,105.0,992.0,False
108,wathajo01,John,Wathan,1949.0,USA,571.0,860.0,2505.0,305.0,261.0,656.0,90.0,25.0,21.0,0.26187624750499,15.0,313.0,False
109,westrwe01,Wes,Westrum,1922.0,USA,901.0,920.0,2322.0,302.0,315.0,503.0,59.0,8.0,96.0,0.21662360034453057,61.0,49.0,False
110,whitede01,Deacon,White,1847.0,USA,458.0,1560.0,6624.0,1140.0,988.0,2067.0,270.0,98.0,24.0,0.3120471014492754,505.0,0.0,True
111,wilsoji01,Jimmie,Wilson,1900.0,USA,1351.0,1525.0,4778.0,580.0,621.0,1358.0,252.0,32.0,32.0,0.2842193386354123,88.0,0.0,False
112,yeagest01,Steve,Yeager,1948.0,USA,1230.0,1269.0,3584.0,357.0,410.0,816.0,118.0,16.0,102.0,0.22767857142857142,78.0,595.0,False
113,yorkru01,Rudy,York,1913.0,USA,238.0,1603.0,5891.0,876.0,1152.0,1621.0,291.0,52.0,277.0,0.27516550670514345,30.0,0.0,False
114,zeileto01,Todd,Zeile,1965.0,USA,130.0,2158.0,7573.0,986.0,1110.0,2004.0,397.0,23.0,253.0,0.2646243232536643,15.0,110.0,False
115,zimmech01,Chief,Zimmer,1860.0,USA,1239.0,1280.0,4546.0,617.0,625.0,1225.0,222.0,76.0,26.0,0.2694676638803344,355.0,1562.0,False
